	(	)	*	+	-	/	;	<	<=	<id>	<num>	=	>	>=	else	if	while	{	}	$	(	)	*	+	-	/	;	<	<=	<id>	<num>	=	>	>=	else	if	while	{	}	A	B	S	S'
122	X	s123	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	123	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
123	X	X	X	X	X	X	X	X	X	s173	X	X	X	X	X	s163	s155	s147	X	X	X	X	X	X	X	X	X	X	X	173	X	X	X	X	X	163	155	147	X	X	X	124	X	
124	X	X	X	X	X	X	s146	X	X	X	X	X	X	X	s125	X	X	X	X	r3	X	X	X	X	X	X	146	X	X	X	X	X	X	X	125	X	X	X	X	X	X	X	X	
125	X	X	X	X	X	X	X	X	X	s130	X	X	X	X	X	s120	s3	s127	X	X	X	X	X	X	X	X	X	X	X	130	X	X	X	X	X	120	3	127	X	X	X	126	X	
126	X	X	X	X	X	X	s2	X	X	X	X	X	X	X	X	X	X	X	X	r5	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
127	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	128	X	
128	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s129	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	129	X	X	X	X	
129	X	X	X	X	X	X	r7	X	X	X	X	X	X	X	X	X	X	X	X	r7	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
130	X	X	X	X	X	X	X	X	X	X	X	s131	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	131	X	X	X	X	X	X	X	X	X	X	X	
131	s141	X	X	X	X	X	X	X	X	s145	s144	X	X	X	X	X	X	X	X	X	141	X	X	X	X	X	X	X	X	145	144	X	X	X	X	X	X	X	X	X	132	X	X	
132	X	X	s139	s133	s135	s137	r9	X	X	X	X	X	X	X	X	X	X	X	X	r9	X	X	139	133	135	137	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
133	s141	X	X	X	X	X	X	X	X	s145	s144	X	X	X	X	X	X	X	X	X	141	X	X	X	X	X	X	X	X	145	144	X	X	X	X	X	X	X	X	X	134	X	X	
134	X	X	s139	s133	s135	s137	r17	X	X	X	X	X	X	X	X	X	X	X	X	r17	X	X	139	133	135	137	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
135	s141	X	X	X	X	X	X	X	X	s145	s144	X	X	X	X	X	X	X	X	X	141	X	X	X	X	X	X	X	X	145	144	X	X	X	X	X	X	X	X	X	136	X	X	
136	X	X	s139	s133	s135	s137	r18	X	X	X	X	X	X	X	X	X	X	X	X	r18	X	X	139	133	135	137	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
137	s141	X	X	X	X	X	X	X	X	s145	s144	X	X	X	X	X	X	X	X	X	141	X	X	X	X	X	X	X	X	145	144	X	X	X	X	X	X	X	X	X	138	X	X	
138	X	X	s139	s133	s135	s137	r19	X	X	X	X	X	X	X	X	X	X	X	X	r19	X	X	139	133	135	137	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
139	s141	X	X	X	X	X	X	X	X	s145	s144	X	X	X	X	X	X	X	X	X	141	X	X	X	X	X	X	X	X	145	144	X	X	X	X	X	X	X	X	X	140	X	X	
140	X	X	s139	s133	s135	s137	r20	X	X	X	X	X	X	X	X	X	X	X	X	r20	X	X	139	133	135	137	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
141	s50	X	X	X	X	X	X	X	X	s54	s53	X	X	X	X	X	X	X	X	X	50	X	X	X	X	X	X	X	X	54	53	X	X	X	X	X	X	X	X	X	142	X	X	
142	X	s143	s48	s42	s44	s46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	143	48	42	44	46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
143	X	X	r21	r21	r21	r21	r21	X	X	X	X	X	X	X	X	X	X	X	X	r21	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
144	X	X	r22	r22	r22	r22	r22	X	X	X	X	X	X	X	X	X	X	X	X	r22	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
